#lambda/nm	DC	C1
664.934	18343	18347.8
665.333	18120	18167
665.753	17786.4	17848.2
666.152	17613.4	17608
666.572	17408	17428.2
666.993	17194	17261.6
667.392	17031.8	17010.8
667.812	16804	16779
668.212	16611	16576.2
668.632	16385.6	16400.4
669.053	16152.6	16134
669.453	15971.2	15960.2
669.874	15777.4	15736.2
670.273	15589.2	15535.6
670.694	15347.8	15337.4
671.116	15142.4	15171.8
671.515	14995.4	14930.6
671.937	14711.8	14799.6
672.337	14615	14627.4
672.758	14437.6	14388
673.158	14226.2	14208.4
673.58	14053.8	14046.6
673.98	13830.4	13900.6
674.402	13718.8	13711
674.824	13497	13538.4
675.224	13309.6	13383.2
675.646	13185	13174
676.047	13078.2	13052.4
676.469	12851.4	12886.8
676.869	12685.8	12689
677.292	12592.2	12577.8
677.693	12434	12441.2
678.115	12303.4	12321
678.516	12171	12141.8
678.939	12006.2	12042.2
679.34	11877.4	11892
679.762	11706	11681.6
680.164	11566.8	11583.8
680.586	11480.6	11468.8
680.988	11345	11378
681.411	11313.8	11285.8
681.812	11175.6	11141.8
682.236	11024.2	11051.2
682.637	10920.4	10941.8
683.061	10832	10815.8
683.462	10677.6	10722.2
683.864	10624	10619.4
684.288	10538.8	10461
684.69	10401.8	10342.2
685.114	10342.2	10376
685.516	10215.6	10216.8
685.94	10146.6	10100.2
686.342	10042.4	10075.6
686.766	9966.4	9975
687.168	9884.8	9856.8
687.571	9802.4	9763.2
687.995	9721.4	9640.6
688.398	9615.6	9592
688.822	9547.8	9521.4
689.225	9422.6	9450.6
689.628	9377.8	9411.6
690.052	9294.8	9309.6
690.456	9204.8	9218
690.88	9141.4	9147.8
691.284	9032.4	9039.4
691.687	8982.4	8959
692.112	8896	8898.6
692.515	8828.4	8798.2
692.919	8734	8738.6
693.344	8663.4	8675.4
693.747	8572.6	8562.2
694.173	8527.6	8494.8
694.577	8461.8	8429.4
694.98	8371.4	8348.2
695.406	8250.6	8284
695.81	8203.4	8235.6
696.214	8118.2	8109.8
696.64	8061.6	8026.2
697.044	7963	7986
697.448	7902.4	7870.8
697.874	7788.4	7796
698.279	7716.6	7738
698.684	7660.8	7620.4
699.11	7580	7547.4
699.514	7488	7454.8
699.919	7441.4	7429.6
700.324	7352.8	7355.6
700.75	7242.2	7240.6
701.156	7161.4	7178.4
701.561	7105.8	7137.6
701.987	7046.4	7074.8
702.393	6977.2	6990
702.798	6890.8	6904.8
703.203	6824.2	6809.8
703.63	6730.4	6720.8
704.036	6644.2	6675.2
704.442	6609.4	6572.8
704.847	6538.4	6500.4
705.274	6470	6500.8
705.68	6369.6	6408.6
706.086	6294.2	6327.2
706.492	6221.4	6243.2
706.92	6137.4	6160.2
707.326	6070.8	6089.2
707.732	6033.8	6019.4
708.139	5937	5938.2
708.545	5867.6	5879.4
708.973	5780.6	5808.6
709.38	5747.2	5732
709.786	5681.2	5686.6
710.193	5617.8	5629.4
710.6	5534.2	5556
711.028	5474.8	5478.8
711.435	5410.4	5407.2
711.842	5373.2	5340.6
712.249	5309.6	5295.8
712.656	5268.2	5248.2
713.064	5167.2	5152.6
713.492	5117.6	5127.4
713.9	5078.6	5067
714.307	4993.8	5007.4
714.715	4962.6	4947.6
715.123	4913.6	4908.4
715.53	4862.2	4873.6
715.938	4791.6	4782.2
716.367	4763.8	4718.2
716.775	4712.4	4715.2
717.184	4606	4620.6
717.592	4586.6	4628.6
718	4550.8	4560.4
718.408	4512.2	4500.6
718.816	4431.4	4427
719.225	4360	4349.6
719.633	4354.6	4314.2
720.042	4267.6	4261
720.472	4234.2	4228.4
720.881	4207	4204
721.29	4129.2	4120.8
721.699	4076.2	4079.2
722.108	4045.4	4034.4
722.517	3963	4009
722.926	3976.8	3966
723.335	3905.8	3894
723.744	3844	3850.6
724.154	3819	3817.2
724.563	3758	3777
724.973	3743.6	3739.4
725.382	3680.6	3687
725.792	3646.6	3649
726.202	3599.2	3584.8
726.612	3556.2	3559.6
727.022	3511	3485.8
727.432	3459.4	3461
779.813	3444.2	3411
780.223	3395	3412.2
780.634	3338	3342.6
781.044	3314.4	3259
781.454	3270.4	3230.8
781.865	3230.8	3243.4
782.276	3188.4	3193.8
782.686	3161.4	3153
783.097	3099.4	3110.2
783.508	3095.8	3067.6
783.919	3048.6	3037.2
784.33	2992.4	2995.6
784.741	2971.2	2975.6
785.152	2937	2898.2
785.563	2885.4	2887.4
785.974	2850.8	2840.8
786.386	2817.8	2800.4
786.776	2779	2762
787.188	2735.2	2750.2
787.599	2714.8	2714.4
788.011	2696.2	2672.8
788.423	2654.2	2638
788.835	2618	2608.6
789.247	2571	2580.8
789.659	2570.8	2539
790.071	2517.4	2520.8
790.483	2525.8	2512.4
790.874	2466.8	2468.4
791.286	2431.8	2431.6
791.699	2397	2416.8
792.111	2379.2	2377.8
792.524	2359.4	2335
792.937	2323	2335
793.349	2302.8	2283.6
793.741	2265.2	2260.2
794.154	2236	2253
794.567	2231	2246
794.98	2195.4	2183.6
795.393	2185.6	2165.2
795.785	2162.8	2148
796.198	2130.4	2135.4
796.612	2102.6	2100
797.026	2080.8	2077.6
797.439	2055.2	2036.6
797.831	2030	2036.2
798.245	2005.8	2010.2
798.659	2004.2	1993.2
799.073	1963.8	1963.4
799.487	1954.2	1937.8
799.88	1915.8	1920
800.294	1904.8	1897
800.708	1882.8	1911.2
801.123	1865	1861.2
801.516	1871.8	1870.6
801.93	1821	1821
802.345	1790.4	1794.6
802.76	1780.4	1795.6
803.153	1778.2	1778.2
803.568	1742.8	1755.2
803.983	1739.8	1746.6
804.377	1714.8	1711.6
804.792	1692.2	1684.8
805.207	1676.8	1677.2
805.601	1661.6	1664.6
806.016	1671.6	1669.6
806.432	1620.4	1617.2
806.826	1632.2	1634.8
807.242	1592.6	1604.4
807.658	1584.8	1578.8
808.052	1557.2	1568
808.468	1556.6	1550
808.884	1539.8	1532.6
809.279	1527.6	1525.2
809.695	1520.2	1516.2
810.111	1498.4	1515.8
810.506	1486.8	1481.2
810.922	1489.4	1484.8
811.339	1462	1458
811.734	1445.8	1432
812.151	1437.4	1426
812.546	1415	1403.2
812.963	1407	1394.6
813.38	1398	1413.8
813.776	1376.8	1396.4
814.193	1369.6	1374
814.589	1361.2	1353.6
815.006	1352.2	1342.4
815.402	1332.4	1330
815.82	1334.4	1326.8
816.237	1335	1300.2
816.633	1309.4	1314.4
817.051	1279.4	1276.8
817.448	1286.8	1289.2
817.866	1259	1271.2
818.262	1279.8	1270.6
818.68	1239.8	1253.2
819.077	1239.2	1235.8
819.495	1233.2	1231.2
819.892	1254.8	1250.4
820.311	1205.8	1205.8
820.708	1204.8	1191
821.127	1191.2	1195
821.524	1189	1189.8
821.943	1174.6	1176.4
822.34	1184.4	1178.4
822.759	1147.8	1166.8
823.157	1148.2	1144.6
823.576	1154	1155.4
823.974	1136.8	1147.2
824.393	1150.4	1140.2
824.791	1122.6	1115
825.189	1121.4	1105
825.609	1111.2	1095.6
826.007	1106	1095
826.427	1085.6	1076.6
826.826	1092.6	1082.6
827.246	1078	1080
827.644	1078.4	1060.6
828.043	1072.2	1065.6
828.463	1042.6	1057.4
828.862	1056.8	1052
829.261	1050	1041.2
829.682	1037.2	1029
830.081	1038.8	1034.2
830.502	1024.4	1018.6
830.901	1021.4	1013.8
831.301	1016.2	1022.4
831.722	1002.6	998.6
832.121	1007.2	1007.8
832.521	989.4	985.4
832.943	999.8	995.2
833.342	991.4	979.2
833.742	984.2	967.8
834.164	979	970.8
834.564	964.4	971
834.965	963.8	961.8
835.386	967.4	961.4
835.787	962.4	941.4
836.188	948.6	955.2
836.588	950.6	936.6
837.01	937.8	942.2
837.411	931.6	932.4
837.812	940.2	940.6
838.213	926.8	921.2
838.636	919.2	924.8
839.037	950.8	950.4
839.438	910.2	908.6
839.84	913.8	905.8
840.263	907.6	905.8
840.664	909	893.4
841.066	902	895.8
841.468	890	887
841.891	887.4	882.6
842.293	880.6	887
842.695	890.2	885.8
843.098	876.6	876.8
843.5	874.8	874.4
843.902	881.6	877.6
844.326	882.8	866
844.729	864.4	856.6
845.131	870.6	868.4
845.534	862.8	859
845.937	857.6	857.8
846.34	853.8	857.2
846.764	850.4	848
847.167	844.4	834
847.571	844.2	827.2
847.974	833.4	833.6
848.377	832.4	831.2
848.781	859.4	857.6
849.184	837	832.8
849.588	824	820.6
849.992	816.6	819.6
850.396	813	825
850.821	834.8	832.8
851.225	810.6	822.2
851.63	807.2	805.6
852.034	822.2	821.2
852.438	813.8	809.8
852.843	823.4	825.8
853.247	806.2	801
853.652	798.6	795.6
854.057	806.8	810.2
854.462	792.4	795
854.867	794.2	800.8
855.272	807	812.2
855.677	798.4	797.6
856.082	782.2	781.4
856.487	784.2	776
856.893	775.8	781.2
857.298	785.4	771.4
857.704	770.6	771.4
858.11	780.8	773.6
858.516	780.2	771.4
858.922	768	771.2
859.328	770.4	768.4
859.734	767.4	771.6
860.14	769.2	767.6
860.525	768.8	752
860.931	753.8	751.4
861.338	758	755
861.745	767.2	757
862.151	760.2	758.8
862.558	758.2	754
862.965	747.8	743.8
863.372	747	739.2
863.779	742.4	738.4
864.186	761.6	758.8
864.572	744.6	741.2
864.98	760.8	750
865.387	754	749
865.795	742	740
866.203	750.6	743.2
866.61	734	725.8
867.018	734	744.2
867.405	737.4	742.4
867.813	723.4	725.8
868.221	729.4	727.8
868.63	718.6	720.6
869.038	732.2	736.4
869.425	747.4	748.8
869.834	721.6	719.4
870.243	715.2	726.2
870.652	716.4	712
871.039	721.4	722.2
871.448	710.4	713.4
871.857	716.4	714.6
872.266	720.2	706
872.654	718.6	706.8
873.064	703.8	705.8
873.473	708.6	714.2
873.883	710.2	703.6
874.271	707	699.8
874.681	707.8	711.8
875.091	696.4	699.4
875.48	714.6	709.8
875.89	715	708.8
876.3	691.4	700.6
876.689	696.2	694.8
877.1	690	690.8
877.51	692.2	699.6
877.9	707.2	703.6
878.31	679	701.8
878.721	705.8	705
879.111	690.8	693
879.522	682.8	687.2
879.933	685.6	685.8
880.323	680.2	681.8
880.734	684.4	678.4
881.125	679	681.6
881.536	687.2	679.2
881.948	681	677
882.338	686.4	673
882.75	679.2	687.8
883.141	683	677.4
883.553	673.6	678.8
883.944	691.2	687.2
884.356	682.6	681.2
884.769	672.2	668.6
885.16	686	670.6
885.573	678.4	667.2
885.964	668.2	657.4
886.377	666.8	674
886.768	666.6	661.6
887.181	660	660
887.573	658.4	668
887.987	658.2	670.2
888.378	675.4	664.6
888.792	661.6	668.8
889.184	693.4	696.2
889.598	655	660.8
889.99	658.6	668.4
890.383	654.6	661.4
890.797	654.2	644.4
891.19	664.2	667
891.604	659.2	659.8
891.997	653.4	651.2
892.411	642.4	650.6
892.805	652.6	655.4
893.198	650.6	653
893.613	642.8	653.6
894.006	648.8	647
894.421	647.6	645
894.815	653.8	648.2
895.209	650	648.6
895.624	676.6	668.6
896.018	657.4	654.4
896.412	645	653
896.828	649.4	641
897.222	655.8	642.8
897.617	642.8	637.2
898.033	659.6	658.2
898.427	648	654.6
898.822	646	638.8
899.239	636.8	635.4
899.634	635.2	636
900.029	640	646.6
900.424	637.6	633.6
900.841	641.8	627.4
901.236	649.2	647.2
901.632	643.2	643.4
902.027	671	679
902.445	638.2	644
902.841	638	634.6
903.237	625.8	632.8
903.633	648.4	645.4
904.05	639.4	638.8
904.447	637.6	633
904.843	642.8	638.4
905.24	641.6	625.8
905.636	626.8	628.8
906.033	628	626.2
906.451	632.6	636.4
906.848	626.6	630.2
907.246	627.4	629.2
907.643	626.8	631.8
908.04	626.6	630.2
908.438	630.2	627
908.835	629.6	627.6
909.254	621.8	620.2
909.652	630.8	635.6
910.05	622	625.6
910.448	625.2	615.6
910.846	617.4	616
911.244	623.6	619
911.643	620.4	624.2
912.041	611	618.6
912.44	630.4	617.2
912.839	611.4	608.8
913.237	612.2	616.8
913.636	612	618.2
914.035	624.8	625.4
914.434	615.2	610.4
914.834	626.6	618.8
915.233	619.4	618.6
915.633	614.8	614.2
916.032	617.4	614.8
916.432	612.6	605.8
916.832	630	628.2
917.232	617	613.8
917.632	605.4	613
918.032	616	614.2
918.432	614.2	611.2
918.833	609.4	612.6
919.233	607.8	609
919.634	609.4	607.4
920.035	623.8	603.8
920.436	605.4	599.8
920.837	614.8	610.6
921.238	616	599
921.639	603	611.8
922.019	614.2	608.4
922.42	607.6	606
922.822	609.6	612
923.224	611.8	604.2
923.625	608.4	603
924.027	611	610.6
924.429	626.4	612.2
924.81	605.4	609
925.212	605.8	611
925.615	610.8	607.4
926.017	599.4	599
926.42	613.8	607.6
926.801	606.8	604.4
927.204	600.6	599.4
927.607	613.6	612.4
928.01	619	607.4
928.413	608.8	609
928.795	591	595.8
929.199	602.6	595.8
929.602	608.8	596.2
930.006	602	604.4
930.388	595.8	598.4
930.792	607.8	600.2
931.196	595.8	594
931.579	623.2	624.2
931.983	593.6	598.6
932.388	632	619.8
932.771	599.2	603.2
933.176	598	598.4
933.58	593.8	605.2
933.964	608.8	602.8
934.369	589	593.6
934.774	602.2	600.4
935.158	595.2	592.2
935.563	592.4	603.8
935.947	590.8	604
936.353	608.8	603.6
936.759	593.6	596.8
937.143	603.2	599.4
937.549	599.4	598.6
937.934	607.2	602.6
938.34	609.6	609.2
938.746	601.4	585.2
939.131	601.6	598
939.538	601	603.2
939.923	604.8	604
940.33	593.8	593.6
940.716	594.8	592.6
941.123	594	598.4
941.508	602.4	607.6
941.916	604.2	609
942.302	601.4	596.4
942.709	589.8	591.6
943.096	598.4	585.2
943.503	598	602.4
943.89	593.8	592
944.298	595.6	593.6
944.685	602.2	603.4
945.072	588.6	596.6
945.48	598.4	604.4
945.867	593.8	592.2
946.276	593.4	590.8
946.663	610.6	610.4
947.051	606.2	605.8
947.46	597.4	599.6
947.848	598	597.8
948.257	589.6	594
948.645	594.4	597.8
949.033	593.2	586.6
949.443	586.4	592.2
949.831	615.4	617.6
950.22	590.6	590.4
950.63	593	591
951.018	602.4	605
951.407	590.6	590.2
951.796	580.6	586
952.207	592.8	586.6
952.596	590.8	586.6
952.985	583	581.8
953.375	618.6	613
953.786	590.8	585.2
954.176	585.2	574.8
954.566	593	595.8
954.956	581.4	579
955.367	595.2	589.2
955.758	603.4	599.4
956.148	580.6	580.6
956.539	598	595.2
956.929	593	589
957.341	582.8	587.4
957.732	590	585.6
958.123	596.6	592.4
958.515	581	583.2
958.906	593.6	589.6
959.297	587.6	584.2
959.689	587	588.4
960.102	577	584.6
960.494	589.8	590
960.886	586	595.8
961.278	588	587.4
961.67	603.4	606
962.062	609.6	606
962.455	586.4	589.2
962.847	577.8	579.2
963.24	593	578.2
963.633	587.4	590
964.026	578.6	579.4
964.419	585.4	587.8
964.812	592	597.8
965.206	580.4	584.4
965.599	590.6	591
965.993	588.2	589.2
966.386	588.2	587.4
966.78	595	594.2
967.174	590.4	592.8
967.569	583.8	588.8
967.963	581	579.2
968.357	581.2	583.4
968.752	578.2	583.6
969.146	578.4	588.6
969.541	586.2	574.4
969.936	579.8	588
970.331	583	584.6
970.705	584.4	588.8
971.1	583.8	588
971.496	585.8	590
971.892	582.4	585.6
972.287	587.6	583.6
972.683	575.6	582
973.079	581.4	592.2
973.454	597.4	597
973.85	586.2	589.2
974.247	588	588.4
974.643	600.2	602.2
975.04	588.4	586.4
975.415	582	582.4
975.812	577	578.6
976.209	592.2	583.4
976.607	582.4	579.6
976.982	592	585.4
977.38	596	593.2
977.778	586.4	578.6
978.175	587.8	584.4
978.552	586.4	583.6
978.95	588	575.6
979.348	588.6	588
979.725	612	613
980.123	587.8	580
980.522	585	580.6
980.899	581.8	577.8
981.298	577.8	583.2
981.697	583.8	585.2
982.075	581.2	583.8
982.474	590.4	583.2
982.852	583.6	584.4
983.251	588.8	591.8
983.651	579.8	582.6
984.029	581.8	590.2
984.429	586.4	576.2
984.808	581	578.8
985.208	579	579.2
985.609	575.8	574.2
985.987	579.6	580
986.388	574.8	589.2
986.768	583.4	592.8
987.168	583.6	582.4
987.548	588.4	588.4
987.949	589.8	581.4
988.329	588.6	594.8
988.731	582.8	575.6
989.111	580.6	588.4
989.491	585.8	579.4
989.893	589.4	589.8
990.273	592.2	587.4
990.676	578	579.8
991.057	576.6	582
991.459	583.8	588.4
991.84	584.8	583.4
992.221	580.2	575.6
992.624	589.8	596
993.006	589.4	588.4
993.388	578.4	584.8
993.791	590	593.6
994.173	597	579.6
994.576	600.8	599.6
994.959	581.6	577.8
995.341	584.4	579
995.724	580.4	584
996.128	584.2	576.4
996.511	592.2	592
996.894	568.8	588.8
997.298	584.6	580.4
997.681	587.8	588.2
998.065	580.4	589.4
998.448	579.4	578
998.854	592.2	600
999.237	581	577.2
999.621	589.4	585.4
1000.01	594.2	597
1000.39	587.6	587
1000.8	582.8	581
1001.18	582.6	586.4
1001.56	590.2	591.6
1001.95	589.8	589.6
1002.33	580.4	585
1002.72	578.4	581.2
1003.13	577.6	584.6
1003.51	582.8	583.2
1003.9	582.8	586
1004.28	593.2	600.6
1004.67	585.4	583.4
1005.06	590	584.4
1005.44	598.4	606.2
1005.83	575.8	577.2
1006.21	582.4	588.2
1006.6	584.4	578
1006.99	589.4	583
1007.37	584.4	588
1007.76	586.4	588
1060.12	579	581.6
1060.51	578.8	585.6
1060.89	585.4	587.4
1061.28	594.4	585.8
1061.67	597	588
1062.06	590.8	586.4
1062.45	589.4	586.4
1062.83	579.4	582
1063.22	589.2	590.6
1063.61	614	601.8
1064	583.6	579.8
1064.39	579	589.8
1064.78	584.8	581.8
1065.14	592.4	587
1065.53	585.6	579.4
1065.92	586.8	589
1066.31	585.8	579.8
1066.7	587	592
1067.09	597	592.6
1067.46	585	587.2
1067.85	588	581.4
1068.24	581.8	581.4
1068.63	582.8	582.6
1069.02	579	578.6
1069.39	589.6	580.2
1069.78	579.4	577.6
1070.17	583.6	581.6
1070.57	581.2	581.6
1070.93	590	587.4
1071.33	581.2	578.6
1071.72	585.6	586.2
1072.11	589.8	576
1072.48	573.6	576
1072.87	581.2	582.4
1073.26	581.2	582.8
1073.64	585.8	584.2
1074.03	579.2	581.4
1074.4	582.2	583.6
1074.79	583.8	585
1075.19	582.4	586.2
1075.56	584.4	587
1075.95	578.4	586
1076.34	586.6	587.8
1076.72	587.2	582.2
1077.11	580.8	585.4
1077.48	582.8	590.4
1077.88	584.6	584
1078.25	585	583.6
1078.64	587	585.4
1079.02	584.8	579
1079.41	591.6	595
1079.78	573.4	585.2
1080.18	582.2	581.8
1080.55	617	616.6
1080.95	581.6	576.4
1081.32	577.6	583
1081.72	586.2	577.6
1082.09	586.8	587.4
1082.49	584.2	579.2
1082.86	580	583.6
1083.24	578.6	583.4
1083.63	579.2	580.4
1084.01	585.4	585.2
1084.38	589.2	588.6
1084.78	584.2	586
1085.16	581.6	586.6
1085.55	593.4	592.6
1085.93	597.8	586
1086.31	585.6	587.6
1086.7	602.2	611.6
1087.08	587.2	585.4
1087.46	588.8	585.2
1087.83	574	586.2
1088.23	587.8	588.4
1088.61	592.4	578.8
1088.99	589	590
1089.36	589.2	581.6
1089.76	589	590.6
1090.14	580.6	581.4
1090.52	587.2	593.2
1090.9	583.6	587.6
1091.27	597.2	598
1091.67	599	597.6
1092.05	589.8	589.8
1092.43	585	588.4
1092.81	596	591
1093.19	589.6	601.2
1093.57	579.8	588.6
1093.95	589.4	594.6
1094.35	602.4	602.2
1094.73	599.6	592.6
1095.11	588.6	582.8
1095.49	588.2	575.8
1095.87	588.8	584.4
1096.25	592.6	593.2
1096.63	590	593
1097.01	587.4	587.6
1097.39	590.2	582.6
1097.77	594.2	588.6
1098.15	591.4	581.6
1098.53	587.4	585.4
1098.91	580.2	585.8
1099.29	597.2	582.6
1099.68	596.8	602
1100.06	598.8	596.2
1100.44	587.6	594.8
1100.82	598	589.2
1101.18	595.4	589.8
1101.56	582.8	588.6
1101.95	596.6	587
1102.33	592.2	595.2
1102.71	591.2	595.4
1103.1	580.8	584.4
1103.48	585.8	587.8
1103.86	588.4	583
1104.22	595.4	592
1104.61	589.8	596
1104.99	597.4	588.6
1105.38	584.2	584.4
1105.76	589.6	587.2
1106.12	594.2	595.2
1106.51	611	613
1106.89	598.4	593.6
1107.26	592.2	592
1107.64	592.2	593.6
1108.03	589.8	589
1108.41	585.8	586.2
1108.78	593.4	591.2
1109.16	588.2	586.4
1109.55	591.6	594
1109.91	584.4	587.6
1110.3	582	583.8
1110.69	581.6	598.8
1111.05	588	598.6
1111.44	590.4	585.2
1111.8	582.2	587.2
1112.19	597.4	584.8
1112.58	578.2	595.8
1112.94	593.2	590.8
1113.33	592.6	591.8
1113.7	586.4	584.8
1114.09	586.8	588.4
1114.45	585.8	584
1114.84	595.4	588.2
1115.21	598.2	603
1115.6	583.2	589.4
1115.96	588.4	594.2
1116.35	591.2	586
1116.72	583	579.6
1117.11	594.4	602.6
1117.48	578.6	593.4
1117.85	588.4	587.8
1118.24	597.8	593.2
1118.6	584.4	588.2
1118.99	596.2	585
1119.36	587.6	584
1119.73	583.6	583.8
1120.12	589	588.8
1120.49	588.2	583.4
1120.86	592.2	592.2
1121.25	595.2	582.6
1121.62	583.8	585.2
1121.99	583	585.4
1122.38	590.8	588.2
1122.76	594.2	581.4
1123.13	585	588
1123.5	588	580
1123.89	588	589.8
1124.26	577.2	584
1124.63	585.8	590.2
1125	591.4	588.4
1125.4	582	587.8
1125.77	579	587
1126.14	581.2	578.4
1126.51	583	588.8
1126.88	582	592.4
1127.26	578.2	585.8
1127.63	581.2	580.4
1128.02	581.2	586
1128.4	580.8	587
1128.77	580.6	595.2
1129.14	587.2	582
1129.52	593.2	588.8
1129.89	583.6	587.2
1130.26	583.6	588.8
1130.64	575.4	592
1131.01	587	584.6
