#lambda/nm	DC	C1
318.192	633.8	632.4
318.585	626.4	628
318.979	633.2	632.2
319.372	622	624.8
319.766	625.6	623.8
320.16	629.4	632.6
320.553	633.6	634
320.947	635.4	646
321.341	634.8	630.8
321.735	629	622.6
322.129	613	628.4
322.523	637	641.6
322.917	632	627.4
323.311	638.2	631.2
323.705	629.8	625.4
324.099	633	631.8
324.494	630.4	631.8
324.888	634.2	631.6
325.282	621.8	630.4
325.677	634.6	627.4
326.071	636.8	630
326.466	630	637
326.861	626.8	630
327.255	632.4	634
327.65	639.4	634.2
328.045	649.4	634.4
328.44	633.6	628
328.835	625.4	635.4
329.23	619.6	626.6
329.625	641	650.8
330.02	621.4	620.6
330.415	647.4	640
330.81	635	629
331.206	620.2	627
331.601	627.8	628.2
331.996	638.2	633.4
332.37	639.4	644.4
332.766	629.4	621.6
333.161	641.4	643
333.557	632.6	624.2
333.953	630.4	625
334.348	760.8	753
334.744	627.2	631.2
335.14	622.4	617.6
335.536	622.8	620.4
335.932	636.4	636.8
336.328	625.4	629.6
336.724	633	636.2
337.12	632.6	628.2
337.516	639.6	635
337.913	630	629.8
338.309	634.6	633
338.705	622.2	627.4
339.102	634.2	630.4
339.498	624.8	624.8
339.895	641.6	637.2
340.291	622.4	628.8
340.688	634.2	634.4
341.085	623.6	629.4
341.481	636.2	626.8
341.878	628.2	627.4
342.275	640.4	642.2
342.672	627.6	627.6
343.069	621.2	628
343.466	619.6	631.6
343.842	638.4	632
344.239	619.6	625.2
344.636	628.4	627.6
345.033	630	623.6
345.431	617.6	609.2
345.828	626.8	630
346.225	627.4	632.8
346.623	648.2	651.4
347.02	624.8	623.4
347.418	628.8	646.4
347.816	633	635.4
348.213	620.2	626.4
348.611	631.8	628.4
349.009	619	625.2
349.407	626.6	633.4
349.805	621.2	628.2
350.203	624.8	620.6
350.601	638	631.6
350.999	631.4	623.2
351.397	663.6	664.2
351.795	622.4	626.8
352.193	633	629.8
352.57	642.2	626
352.969	637.2	628
353.367	622.8	625
353.766	627.4	623.8
354.164	631.2	626.2
354.563	634.6	634.4
354.961	627	626
355.36	627	623.8
355.759	638	623
356.158	620.8	617.2
356.557	623	620.6
356.956	621.6	618.6
357.355	622.6	623
357.754	627.6	624.8
358.153	635	632
358.552	648.2	641
358.951	624	639.8
359.35	638.4	634
359.75	626.6	615.6
360.149	629.4	620
360.527	615.4	616.4
360.926	626.8	620.8
361.326	633.8	626.6
361.726	629.8	631.4
362.125	619.6	622.2
362.525	628.8	627.6
362.925	625.2	628.4
363.325	625.8	622.4
363.724	627.6	630.8
364.124	619.4	625.2
364.524	624.8	628.4
364.924	625	631.6
365.324	636.8	630
365.725	624.6	620.8
366.125	637.2	630.8
366.525	630	633.6
366.904	624.6	633
367.304	614	617.2
367.705	636.8	636.6
368.105	637.6	639.6
368.506	627	626.6
368.906	628.8	632.4
369.307	633.2	621.2
369.708	629.4	628.2
370.108	623.4	627.4
370.509	631.8	635.4
370.91	624	623
371.311	633.8	628.2
371.712	638.2	629.2
372.113	630.2	631
372.514	624.4	624.2
372.894	626.2	626.2
373.295	630.2	623.8
373.696	641	637.4
374.097	630.2	632.6
374.499	647.4	645.4
374.9	633.2	635.4
375.301	631.8	628
375.703	626.8	626.2
376.105	629.4	620.6
376.506	628.2	633
376.908	638.6	630.8
377.309	622	632.8
377.711	637.2	629
378.113	628.8	627
378.493	633	632
378.895	624.8	629.8
379.297	630.8	626.8
379.699	621.2	621.2
380.102	635.8	640.8
380.504	621.6	632
380.906	630.4	623
381.308	639.8	648.4
381.71	635.4	629.2
382.113	641.4	636.6
382.515	636	629.4
382.918	635	636.6
383.299	635.4	635.2
383.701	632.2	640
384.104	630.2	638.4
384.507	618.4	619.2
384.909	630.6	636.6
385.312	628.6	629.8
385.715	631.8	633
386.118	633.6	625.2
386.521	628.4	631.4
386.924	638.8	634.8
387.327	630	634
387.709	634.4	627.2
388.112	620.2	626.4
388.515	633.6	634.8
388.918	639.6	639
389.322	639	633.4
389.725	632.4	628.4
390.129	649.8	646.2
390.532	632.2	639
390.936	629.2	628.4
391.339	628	636
391.743	637.4	640.2
392.125	632.8	632.6
392.529	644.8	644.2
392.933	650.8	645
393.337	631.8	642
393.74	639.2	634.8
394.144	632.6	643.4
394.548	632.2	634.2
394.953	637.6	633.4
395.357	648	642.4
395.761	630.6	641.6
396.144	642.4	635.8
396.548	635.8	638.8
396.952	635	643.6
397.357	637.6	640.4
397.761	643.4	633.2
398.166	642.8	639
398.57	640.2	644.4
398.975	634.4	635.4
399.379	638.4	648.2
399.763	665.4	663.4
400.168	647.2	642.2
400.572	640.4	646.2
400.977	648.8	645.6
401.382	661.4	664.2
401.787	651	646.2
402.192	654	658.4
402.597	657.6	660.8
403.002	643.8	643
403.386	667.4	665.6
403.791	671.8	666
404.197	654.8	658.8
404.602	666	661.6
405.007	671	667.6
405.413	672.6	676.4
405.818	681.2	679.8
406.224	675.8	675.2
406.608	688	680.4
407.014	690.4	683.4
407.42	709.2	699.8
407.825	695.2	698
408.231	719.8	710.2
408.637	714	732.6
409.043	743.2	723.6
409.449	734.2	733.6
409.834	736.2	745.4
410.24	756.8	758.4
410.646	774.2	775.6
411.052	775.2	775.8
411.458	799.6	794.4
411.865	814.6	808.2
412.271	830.2	824.8
412.677	831	835.2
413.062	850.2	854.8
413.469	879.8	876.4
413.875	908.4	919.8
414.282	933.4	929.6
414.689	948	944.2
415.095	975.6	979.6
415.502	997.4	993.4
415.888	1033.6	1034.8
416.294	1053.2	1063.8
416.701	1121.8	1123
417.108	1128	1123
417.515	1169	1176.4
417.923	1208.8	1209.4
418.33	1265.6	1260.8
418.715	1308	1321.2
419.123	1340.2	1340.2
419.53	1393.2	1390.4
419.937	1428.2	1440.2
