#lambda/nm	C1
208.295	518.4
208.67	470.6
209.045	430.6
209.419	436.2
209.794	619.4
210.169	602
210.544	725.2
210.919	623.8
211.295	615.2
211.67	620.6
212.045	614.6
212.421	616.4
212.796	644.2
213.172	610.4
213.547	613.8
213.923	614.4
214.299	609.4
214.675	623.4
215.051	618.8
215.427	625.6
215.803	637.6
216.179	623
216.555	605.4
216.932	621.6
217.308	615.4
217.684	617.8
218.061	622.6
218.438	619.6
218.814	610.6
219.191	617.4
219.568	614.8
219.945	606.2
220.322	623.8
220.699	611.6
221.076	630.4
221.453	618.2
221.83	608.4
222.208	616.6
222.585	618.6
222.962	616.2
223.34	624.2
223.717	609.6
224.095	613
224.473	607.8
224.851	606.2
225.229	603.2
225.607	632.2
225.985	603.8
226.363	614
226.741	617.6
227.119	604.6
227.497	628.6
227.876	599.6
228.254	618.2
228.633	622.8
229.011	622.6
229.39	617.2
229.769	607
230.148	613.8
230.527	637.8
230.905	613.8
231.284	604.2
231.664	608.8
232.043	619
232.422	622.4
232.801	603.6
233.181	627.2
233.56	608
233.94	609.6
234.319	600.8
234.699	611.6
235.079	650.8
235.458	642.8
235.838	632.8
236.218	596.6
236.598	606.4
236.978	609.2
237.358	611
237.738	617
238.119	618.6
238.499	605.4
238.88	619.4
239.26	623.6
239.641	606.8
240.021	610.6
240.402	618.4
240.783	608
241.163	619.8
241.544	616.8
241.925	621.8
242.306	630.4
242.687	611
243.069	615.6
243.45	623.8
243.831	610.2
244.212	616.8
244.594	648.4
244.975	628.8
245.357	622
245.739	613.6
246.12	620.6
246.502	630.6
246.884	619.2
247.266	608.2
247.648	623.2
248.03	640.4
248.412	623.4
248.794	622
249.176	613.2
249.559	625.6
249.941	610.6
250.323	606.4
250.706	607.6
251.089	616.6
251.471	621.4
251.854	617
252.237	610.4
252.62	623.4
253.002	607.4
253.385	615.2
253.769	621.8
254.152	617
254.535	624.2
254.918	611.2
255.301	610.8
255.685	602.6
256.068	610.6
256.452	638
256.835	621.8
257.219	618.4
257.603	628.6
257.986	612
258.37	613.8
258.754	598
259.138	625.6
259.522	626.4
259.906	609.6
260.29	610.2
260.675	613.6
261.059	618.8
261.443	620.8
261.828	625
262.212	623.4
262.597	609
262.981	609.2
263.366	618.2
263.751	617.8
264.136	605.4
264.521	611.6
264.906	607
265.291	631
265.676	613.6
266.061	628
266.446	625.6
266.831	614.4
267.217	633.6
267.602	618.4
267.987	623
268.373	608.2
268.759	626.6
269.144	625.8
269.53	620.2
269.916	610.2
270.302	613
270.688	629.6
271.074	624.6
271.46	629.6
271.846	653.8
272.232	613.4
272.618	609.6
273.004	613.4
273.391	621.8
273.777	626.4
274.164	618.8
274.55	634.6
274.937	610.4
275.324	613
275.71	622.6
276.097	626.6
276.484	603.8
276.871	622.2
277.258	623.2
277.645	597.2
278.032	619.2
278.419	611
278.807	611
279.194	601.8
279.581	614.8
279.969	627.2
280.356	617.6
280.744	614.2
281.131	640.6
281.519	632.4
281.907	619.4
282.295	614.8
282.682	634.2
283.07	620.6
283.458	620.4
283.846	629.6
284.235	627.8
284.623	629.2
285.011	603.4
285.399	630.8
285.788	613.6
286.176	607.2
286.565	627.4
286.953	617
287.342	605.8
287.731	607.4
288.119	615.4
288.508	613.8
288.897	621
289.286	605.2
289.675	626
290.064	631.8
290.453	620
290.821	613.6
291.21	630
291.599	612.8
291.989	614.4
292.378	615.4
292.768	637.4
293.157	624.4
293.547	623.4
293.936	611.8
294.326	611.4
294.716	619.8
295.106	617.6
295.496	622.6
295.886	629.2
296.276	626.2
296.666	610.6
297.056	612.8
297.446	606.8
297.836	635.8
298.227	611.8
298.617	618.4
299.008	624.4
299.398	615
299.789	618
300.179	622.4
300.57	631.8
300.961	611.8
301.352	621
301.742	629.6
302.133	617.6
302.524	612.2
302.915	620.6
303.307	606
303.698	637.8
304.089	620.8
304.48	617.6
304.872	614.6
305.263	614
305.655	611.8
306.046	619
306.438	620.2
306.829	611.8
307.221	638.4
307.613	630
308.005	625.6
308.397	635.6
308.789	636.4
309.181	645
309.573	641
309.965	629.6
310.357	620.4
310.749	632.4
311.142	601.8
311.534	611.8
311.926	621.6
312.319	622.8
312.711	617.8
313.104	631.8
313.497	619.4
313.889	650.2
314.282	641.6
314.675	645.4
315.068	622
315.461	622.8
315.854	649.2
316.247	623.4
316.64	614.4
317.033	616.2
317.405	628.2
317.798	620.4
318.192	626.6
318.585	603.6
318.979	620.4
319.372	612.4
319.766	615.8
320.16	632.4
320.553	633.8
320.947	639.6
321.341	619
321.735	619.8
322.129	608.2
322.523	638.8
322.917	612.6
323.311	626.8
323.705	618.8
324.099	618
324.494	627.6
324.888	624
325.282	614.8
325.677	632.6
326.071	619.4
326.466	631
326.861	620.8
327.255	631.4
327.65	630.6
328.045	633.8
328.44	621
328.835	620
329.23	615.6
329.625	640
330.02	607.4
330.415	634.4
330.81	620.4
331.206	623.8
331.601	605.8
331.996	621.4
332.37	632.8
332.766	605
333.161	635
333.557	607.4
333.953	611.8
334.348	889.4
334.744	609.2
335.14	614.6
335.536	616.2
335.932	634.8
336.328	614.2
336.724	626.4
337.12	618
337.516	617.8
337.913	619.4
338.309	631
338.705	618.2
339.102	630
339.498	615.6
339.895	626.8
340.291	614.4
340.688	623.4
341.085	616.6
341.481	622.6
341.878	619.2
342.275	638.2
342.672	613
343.069	613.4
343.466	602.8
343.842	631
344.239	612.8
344.636	619.6
345.033	608
345.431	615
345.828	620.8
346.225	615
346.623	653.6
347.02	622.2
347.418	621.6
347.816	631.2
348.213	615.2
348.611	622.2
349.009	610
349.407	625.8
349.805	610
350.203	601.4
350.601	628.6
350.999	612
351.397	658.4
351.795	618.2
352.193	625.8
352.57	620
352.969	626.4
353.367	604
353.766	604.6
354.164	608.8
354.563	618
354.961	615.6
355.36	606.8
355.759	612.6
356.158	599.2
356.557	603.2
356.956	607.2
357.355	595.6
357.754	608.2
