#lambda/nm	C1
208.295	511.4
208.67	459.4
209.045	426.2
209.419	431
209.794	611.4
210.169	601.4
210.544	722
210.919	618.6
211.295	600.4
211.67	616.6
212.045	611.8
212.421	609.2
212.796	651
213.172	609.6
213.547	610
213.923	613.2
214.299	600.2
214.675	621.6
215.051	617.6
215.427	621
215.803	628.2
216.179	625.4
216.555	608.8
216.932	618.8
217.308	617
217.684	611
218.061	625.6
218.438	617.6
218.814	614
219.191	626.6
219.568	606
219.945	604
220.322	620.8
220.699	615.6
221.076	618.8
221.453	619.4
221.83	606
222.208	609.8
222.585	614.6
222.962	617.4
223.34	616.2
223.717	610.4
224.095	616.2
224.473	622.8
224.851	611.8
225.229	606.8
225.607	623.6
225.985	610
226.363	615.6
226.741	621.2
227.119	613.2
227.497	622.4
227.876	598
228.254	626
228.633	627.6
229.011	622.6
229.39	619.8
229.769	615
230.148	625.4
230.527	626.2
230.905	618.8
231.284	622.6
231.664	610.4
232.043	630
232.422	624.2
232.801	612
233.181	623.4
233.56	616.2
233.94	619.8
234.319	604.6
234.699	616.6
235.079	652.8
235.458	647.2
235.838	627.8
236.218	608
236.598	603.6
236.978	603.6
237.358	609
237.738	607.8
238.119	620.8
238.499	599.4
238.88	611
239.26	630.2
239.641	609.2
240.021	604.8
240.402	612.6
240.783	608.8
241.163	608.2
241.544	610.6
241.925	609.2
242.306	619
242.687	621.6
243.069	615.8
243.45	616.4
243.831	615.6
244.212	613
244.594	645.6
244.975	618.4
245.357	614.6
245.739	606.2
246.12	612.2
246.502	621.8
246.884	612.6
247.266	602.2
247.648	617.4
248.03	628.6
248.412	610.6
248.794	615
249.176	608.8
249.559	623.4
249.941	606.6
250.323	611
250.706	606.8
251.089	606.4
251.471	614.4
251.854	609
252.237	615.2
252.62	632.6
253.002	616.4
253.385	614
253.769	629.4
254.152	617.6
254.535	626.4
254.918	610.4
255.301	613.6
255.685	602
256.068	606.6
256.452	638
256.835	625
257.219	627.6
257.603	634.6
257.986	606.6
258.37	612.8
258.754	608.4
259.138	628.2
259.522	626.8
259.906	620.2
260.29	624.2
260.675	614.8
261.059	618.2
261.443	611
261.828	620.8
262.212	621.4
262.597	605.8
262.981	606.8
263.366	629.4
263.751	619.2
264.136	609
264.521	609.4
264.906	609
265.291	622.2
265.676	600.4
266.061	618.6
266.446	634.6
266.831	618.2
267.217	631.8
267.602	618.8
267.987	625
268.373	609.4
268.759	623
269.144	622.4
269.53	613.8
269.916	611.8
270.302	612
270.688	623.4
271.074	613.8
271.46	622.4
271.846	646.6
272.232	611.8
272.618	611.8
273.004	616.6
273.391	624
273.777	627.4
274.164	618
274.55	630
274.937	620.2
275.324	619
275.71	619
276.097	627
276.484	610.4
276.871	620.2
277.258	623
277.645	606.2
278.032	617.2
278.419	614.8
278.807	622.8
279.194	606.6
279.581	603
279.969	619.8
280.356	620.2
280.744	620.8
281.131	637.8
281.519	623.4
281.907	610.8
282.295	613.8
282.682	636
283.07	618.2
283.458	627.8
283.846	628.6
284.235	628
284.623	631.8
285.011	614.6
285.399	626.2
285.788	615.4
286.176	609.2
286.565	632.2
286.953	612.6
287.342	614.2
287.731	604.6
288.119	610
288.508	606.2
288.897	618.4
289.286	599.6
289.675	624.4
290.064	629.4
290.453	610.6
290.821	617.8
291.21	627.2
291.599	612.4
291.989	618.4
292.378	619.4
292.768	638.4
293.157	617.2
293.547	619.2
293.936	612.6
294.326	612.6
294.716	626
295.106	610.2
295.496	626.4
295.886	626
296.276	623.2
296.666	605.8
297.056	616.2
297.446	597.8
297.836	628.6
298.227	606.8
298.617	606
299.008	626
299.398	612.6
299.789	597
300.179	611
300.57	629.6
300.961	608.4
301.352	605.6
301.742	623.8
302.133	610.4
302.524	618.4
302.915	608.2
303.307	608
303.698	630
304.089	625
304.48	616.8
304.872	635.2
305.263	620.4
305.655	611.4
306.046	616.8
306.438	626
306.829	605.6
307.221	635.4
307.613	630.8
308.005	634.4
308.397	621.2
308.789	640.2
309.181	644
309.573	637
309.965	634.8
310.357	620.8
310.749	631
311.142	616
311.534	609.6
311.926	628.4
312.319	628.4
312.711	612.6
313.104	629.2
313.497	618.8
313.889	653
314.282	629.8
314.675	638.8
315.068	622.8
315.461	626.6
315.854	647.4
316.247	623.6
316.64	615.4
317.033	621.4
317.405	622
317.798	607
318.192	620.4
318.585	616.6
318.979	623.6
319.372	609.6
319.766	615.6
320.16	626.2
320.553	638
320.947	636
321.341	611.6
321.735	620.8
322.129	609.8
322.523	638.8
322.917	600.4
323.311	625
323.705	614.8
324.099	622.2
324.494	634.8
324.888	633
325.282	614.2
325.677	633.8
326.071	636.6
