#lambda/nm	C1
208.295	510.8
208.67	466.2
209.045	429.6
209.419	432.6
209.794	605.8
210.169	602.8
210.544	712.6
210.919	611
211.295	608.4
211.67	620
212.045	609.8
212.421	608.8
212.796	654
213.172	610.6
213.547	613.4
213.923	610
214.299	609.8
214.675	615.4
215.051	616.6
215.427	624.8
215.803	626.8
216.179	613.6
216.555	610.8
216.932	627.6
217.308	611.2
217.684	615.6
218.061	613.8
218.438	613.4
218.814	611
219.191	623.6
219.568	609.8
219.945	609.4
220.322	623
220.699	620
221.076	624.6
221.453	618.4
221.83	614.6
222.208	607
222.585	613.4
222.962	625
223.34	612.6
223.717	618.4
224.095	615
224.473	620.4
224.851	621
225.229	611.8
225.607	631.6
225.985	603
226.363	623.6
226.741	615.8
227.119	609
227.497	640.4
227.876	609.6
228.254	623.2
228.633	618.6
229.011	621.2
229.39	618
229.769	615.4
230.148	620.2
230.527	644
230.905	619.8
231.284	618.4
231.664	613
232.043	632.4
232.422	621.2
232.801	616.8
233.181	627.4
233.56	609.8
233.94	618.8
234.319	609
234.699	622.6
235.079	657
235.458	647.6
235.838	629.8
236.218	602.8
236.598	605
236.978	609
237.358	615
237.738	610.4
238.119	625.4
238.499	605.4
238.88	617
239.26	630
239.641	612.6
240.021	616.4
240.402	603.8
240.783	614.2
241.163	612.4
241.544	614.8
241.925	612.2
242.306	630
242.687	616.6
243.069	612.8
243.45	622.4
243.831	601.6
244.212	609.4
244.594	648.8
244.975	623.6
245.357	621.2
245.739	609.4
246.12	613.8
246.502	634.6
246.884	610.8
247.266	610
247.648	620.4
248.03	645
248.412	627.8
248.794	622
249.176	605.6
249.559	634.2
249.941	603.4
250.323	605.4
250.706	613.4
251.089	612.2
251.471	618.8
251.854	612
252.237	611.8
252.62	627.8
253.002	624.2
253.385	619.4
253.769	629.8
254.152	620.2
254.535	629.2
254.918	603.2
255.301	629.6
255.685	612.4
256.068	606.6
256.452	636
256.835	626.4
257.219	629.6
257.603	626.8
257.986	609.8
258.37	617.2
258.754	605.4
259.138	631
259.522	626
259.906	617.4
260.29	620.6
260.675	607.2
261.059	613.2
