-1.242417	-0.619810	-0.891600	-0.806969	-0.666555	-0.685909	-0.456191	-0.564582	-0.504691	-0.343293	-0.358151	-0.271178	-0.227838	-0.281619	-0.149948	-0.105650	-0.131408	-0.162718	-0.044903	-0.146339	-0.191113
-0.794947	-0.602382	-0.627196	-0.553247	-0.635907	-0.630008	-0.582965	-0.566397	-0.360777	-0.429919	-0.591057	-0.524454	-0.584564	-0.512207	-0.637546	-0.603226	-0.569642	-0.619847	-0.541245	-0.645408	-0.506385
-0.875368	-0.694758	-0.616758	-0.688674	-0.688260	-0.718282	-0.642506	-0.725675	-0.641869	-0.621204	-0.687457	-0.627855	-0.541092	-0.533698	-0.672872	-0.671609	-0.716103	-0.566317	-0.626679	-0.590971	-0.690776
-0.858479	-0.447104	-0.627689	-0.583903	-0.739267	-0.577527	-0.651559	-0.558975	-0.606001	-0.685196	-0.594580	-0.613776	-0.589981	-0.619566	-0.558112	-0.562650	-0.793137	-0.623307	-0.674664	-0.669692	-0.705642
-0.533871	-0.424142	-0.573970	-0.706840	-0.650406	-0.593744	-0.715614	-0.599016	-0.656083	-0.586462	-0.655298	-0.615894	-0.618164	-0.596754	-0.574095	-0.669663	-0.749186	-0.752282	-0.637807	-0.563879	-0.720771
-0.521992	-0.421288	-0.588017	-0.647890	-0.673517	-0.558745	-0.641770	-0.548307	-0.599178	-0.559535	-0.662399	-0.562033	-0.536265	-0.716761	-0.769049	-0.568079	-0.620408	-0.598555	-0.626884	-0.592967	-0.682878
-0.514917	-0.514176	-0.554859	-0.441070	-0.638535	-0.601718	-0.565785	-0.446237	-0.537334	-0.685350	-0.709361	-0.682971	-0.614219	-0.529012	-0.565335	-0.584875	-0.577593	-0.598571	-0.528120	-0.659009	-0.605869
-0.394644	-0.439747	-0.615511	-0.715239	-0.696975	-0.509270	-0.488357	-0.668555	-0.677491	-0.585810	-0.648740	-0.648351	-0.473841	-0.631287	-0.519804	-0.628224	-0.582926	-0.619988	-0.697354	-0.645387	-0.662472
-0.566770	-0.358873	-0.501555	-0.383866	-0.480340	-0.630614	-0.586531	-0.510859	-0.536045	-0.613143	-0.630192	-0.573809	-0.623959	-0.515646	-0.559974	-0.634520	-0.616182	-0.823047	-0.733506	-0.592621	-0.672567
-0.174066	-0.341143	-0.453921	-0.429813	-0.460584	-0.350759	-0.310784	-0.273396	-0.395183	-0.312440	-0.424278	-0.331044	-0.349402	-0.542685	-0.469242	-0.530805	-0.337432	-0.416725	-0.364903	-0.497969	-0.377896
