#lambda/nm	C1
208.295	529.8
208.67	482
209.045	447
209.419	440.4
209.794	610.6
210.169	590.8
210.544	701.4
210.919	608.6
211.295	606.8
211.67	613.8
212.045	605
212.421	601.2
212.796	639.2
213.172	606.6
213.547	605.2
213.923	598.4
214.299	598.8
214.675	616.2
215.051	612.4
215.427	616.6
215.803	626.2
216.179	612.4
216.555	600
216.932	619.8
217.308	609.6
217.684	601.4
218.061	614.6
218.438	614.8
218.814	606.2
219.191	614.2
219.568	601.8
219.945	601.8
220.322	615.4
220.699	611.8
221.076	614.8
221.453	611
221.83	601.2
222.208	605.2
222.585	604.8
222.962	608
223.34	618.2
223.717	604.8
224.095	606.6
224.473	601.8
224.851	601
225.229	597.2
225.607	615.8
225.985	596.8
226.363	608.2
226.741	607.4
227.119	605.4
227.497	620.4
227.876	592.4
228.254	615.6
228.633	613.2
229.011	607
229.39	613
229.769	608.8
230.148	612
230.527	633.2
230.905	604.8
231.284	601.8
231.664	601.8
232.043	629.2
232.422	609.2
232.801	602
233.181	609.8
233.56	603.4
233.94	611
234.319	592.2
234.699	600.8
235.079	645.4
235.458	645.6
235.838	624.6
236.218	606
236.598	586.6
236.978	599.6
237.358	603.8
237.738	603.2
238.119	609
238.499	606.2
238.88	612.4
239.26	620.4
239.641	600
240.021	604
240.402	617.6
240.783	603.8
241.163	609.8
241.544	605.6
241.925	606.6
242.306	615.4
242.687	615.6
243.069	608.8
243.45	615.2
243.831	599.6
244.212	604.4
244.594	649.6
244.975	614.8
245.357	613.4
245.739	599.2
246.12	606.8
246.502	620.2
246.884	598
247.266	601
247.648	615.2
248.03	627.8
248.412	603.2
248.794	610.4
249.176	603.4
249.559	611.2
249.941	596.4
250.323	595.6
250.706	596.6
251.089	606
251.471	612.6
251.854	608.8
252.237	609.2
252.62	619.6
253.002	612.4
253.385	615.6
253.769	624.2
254.152	610
254.535	612.6
254.918	600.6
255.301	599.6
255.685	608
256.068	606.2
256.452	635.2
256.835	619
257.219	616.4
257.603	622.6
257.986	602.2
258.37	611.4
258.754	606
259.138	607.6
259.522	608.2
259.906	604
260.29	615.2
260.675	605.8
261.059	611.2
261.443	602.2
261.828	616.6
262.212	610.6
262.597	603.4
262.981	599
263.366	615.8
263.751	614.6
264.136	610.2
264.521	607
264.906	600.2
265.291	617.4
265.676	600.6
266.061	613.2
266.446	625
266.831	608
267.217	632.4
267.602	615.4
267.987	610
268.373	611
268.759	618.4
269.144	617.8
269.53	607.6
269.916	599.2
270.302	603.4
270.688	612.6
271.074	617.8
271.46	616
271.846	631.8
272.232	607.6
272.618	608.6
273.004	610
273.391	624.2
273.777	627.4
274.164	613
274.55	616.2
274.937	616.4
275.324	605.6
275.71	617
