#lambda/nm	C1
208.295	535.4
208.67	479.8
209.045	444
209.419	447.4
209.794	605.6
210.169	595.2
210.544	702.6
210.919	604.4
211.295	592.8
211.67	606.6
212.045	602.6
212.421	592
212.796	635.8
213.172	606
213.547	594.8
213.923	605.4
214.299	595.4
214.675	608.8
215.051	608
215.427	612.8
215.803	617.6
216.179	608.6
216.555	602.2
216.932	606.6
217.308	607.8
217.684	607.8
218.061	618.2
218.438	612
218.814	601.4
219.191	617.8
219.568	604
219.945	605.4
220.322	613.6
220.699	612.4
221.076	610.6
221.453	612
221.83	605.2
222.208	600.6
222.585	597.6
222.962	603
223.34	610.8
223.717	608
224.095	604.2
224.473	610.2
224.851	602.6
225.229	598.2
225.607	620.4
225.985	593
226.363	607.8
226.741	602
227.119	610.2
227.497	624
227.876	590.6
228.254	612.8
228.633	603.4
229.011	608.4
229.39	598
229.769	610.4
230.148	604.4
230.527	623.6
230.905	607.4
231.284	597.6
231.664	604.2
232.043	609.2
232.422	616.2
232.801	599.4
233.181	609
233.56	600.6
233.94	599
234.319	599.2
234.699	607.4
235.079	637.2
235.458	635.4
235.838	619
236.218	602.8
236.598	595.4
236.978	597.4
237.358	589.8
237.738	600
238.119	607
238.499	595.6
238.88	598.4
239.26	613.6
239.641	596.8
240.021	600.6
240.402	598
240.783	599.4
241.163	601
241.544	606.2
241.925	607.2
242.306	618
242.687	606
243.069	604.2
243.45	607.4
243.831	598.8
244.212	595.2
244.594	636.4
244.975	610.4
245.357	600.2
245.739	603
246.12	599.8
246.502	621.4
246.884	593.8
247.266	599.2
247.648	609.6
248.03	623.6
248.412	609.6
248.794	603.8
249.176	601.6
249.559	607.6
249.941	600.8
250.323	597
250.706	599.6
251.089	607.2
251.471	613.6
251.854	593.6
252.237	604
252.62	617.4
253.002	608.6
253.385	604.2
253.769	615.4
254.152	601
254.535	611.6
254.918	591.2
255.301	607.4
255.685	603.2
256.068	589
256.452	624.6
256.835	616.6
257.219	607.6
257.603	621.4
257.986	602
258.37	602.6
258.754	595.2
259.138	611.2
259.522	614.8
259.906	607.8
260.29	612.4
260.675	601.8
261.059	607.4
261.443	595.6
261.828	608.6
262.212	605.2
262.597	590.2
262.981	602.2
263.366	609
263.751	608
264.136	606.2
264.521	603.8
264.906	602.6
265.291	619.2
265.676	599.2
266.061	609.2
266.446	616.2
266.831	607
267.217	626.2
267.602	608
267.987	605
268.373	604
268.759	617.6
269.144	613.8
269.53	606.8
269.916	595.8
270.302	599.8
270.688	604.8
271.074	603
271.46	619.4
271.846	620.6
272.232	599
272.618	595
273.004	605
273.391	616.2
273.777	612.6
274.164	605.6
274.55	611.8
274.937	606
275.324	599.6
275.71	610.6
276.097	609
276.484	592
276.871	609.2
277.258	604.2
277.645	590.6
278.032	604.4
278.419	598
278.807	610.4
279.194	596.4
279.581	599
279.969	621.8
280.356	614.2
280.744	609.8
281.131	626.2
281.519	619.6
281.907	603.2
282.295	603.8
282.682	610
283.07	614.6
283.458	609.2
283.846	622.6
284.235	619.2
284.623	619.6
285.011	594.2
285.399	608.4
285.788	617.6
286.176	596.2
286.565	613.6
286.953	604.2
287.342	601.4
287.731	598.2
288.119	594.6
288.508	596.4
288.897	607.6
289.286	592.2
289.675	605
290.064	612.8
290.453	602.4
290.821	607.4
291.21	622.8
291.599	606.4
291.989	608.2
292.378	614.2
292.768	623.8
293.157	616.4
293.547	616
293.936	611.8
294.326	602.2
294.716	614
295.106	607.6
295.496	613
295.886	610.4
296.276	610.4
296.666	601
297.056	604.4
297.446	597.8
297.836	621.8
298.227	601.8
298.617	605
299.008	615.8
299.398	613.6
299.789	602
300.179	610.8
300.57	619.2
300.961	603.2
301.352	603.8
301.742	614.6
302.133	602.2
302.524	605.6
302.915	607
303.307	593.6
303.698	618.8
304.089	614.4
304.48	611.8
304.872	605.6
305.263	604.4
305.655	601.6
306.046	621
306.438	603.2
306.829	600.2
307.221	616
307.613	609.4
308.005	604.4
308.397	621.2
308.789	628.4
309.181	623
309.573	623.4
309.965	611.8
310.357	605
310.749	614.6
311.142	603
311.534	599.6
311.926	613.8
312.319	608
312.711	602.8
313.104	614.4
313.497	604.6
313.889	645
314.282	615.6
314.675	625.2
315.068	604
315.461	618
315.854	637.6
316.247	614.4
316.64	607.2
317.033	606.6
317.405	606.4
317.798	600.4
318.192	607
318.585	604.4
318.979	608
319.372	609.8
319.766	605.6
320.16	618.4
320.553	625.4
320.947	619.8
321.341	608.6
321.735	608.4
322.129	594.8
322.523	628.6
322.917	594.4
323.311	609.2
323.705	614.8
324.099	608.6
324.494	632.4
324.888	610
325.282	607.8
325.677	613.4
326.071	611.6
326.466	616.8
326.861	609.8
327.255	616.2
327.65	621.6
328.045	624
328.44	610.4
328.835	604.6
329.23	603.4
329.625	633.2
330.02	594
330.415	626.6
330.81	609.2
331.206	600.8
331.601	609.2
331.996	613.2
332.37	622.4
332.766	599.2
333.161	617.8
333.557	598
333.953	613.6
334.348	889.6
334.744	616
335.14	598.4
335.536	606.2
335.932	614.2
336.328	608.2
336.724	613.8
337.12	607.4
337.516	608.6
337.913	608.2
338.309	616
338.705	598.8
339.102	619.2
339.498	603.6
339.895	615.4
340.291	606.2
340.688	619.8
341.085	603.4
341.481	598.8
341.878	606.2
342.275	626.4
342.672	605.6
343.069	599.2
343.466	594.8
343.842	617
344.239	592.6
344.636	600.8
345.033	594
345.431	599.6
345.828	599.4
346.225	597.4
346.623	635.8
347.02	602.8
347.418	610
347.816	615.6
348.213	595
348.611	608.4
349.009	600.2
349.407	604.8
349.805	593.4
350.203	589
350.601	612.4
350.999	603.6
351.397	636.4
351.795	601.2
352.193	599
352.57	602
352.969	610.2
353.367	594.4
353.766	593.6
354.164	595.8
354.563	617.8
354.961	597.6
355.36	588.6
355.759	602.4
356.158	596.4
356.557	598.4
356.956	600.4
357.355	603.2
357.754	607.6
358.153	605.8
358.552	628.8
358.951	606.8
359.35	614.4
359.75	599
360.149	594.4
360.527	590.2
360.926	591
361.326	599.4
361.726	599.4
362.125	596.2
362.525	603.6
362.925	596.6
363.325	604.2
363.724	603.8
364.124	595.8
364.524	588.4
364.924	601.4
365.324	611.4
365.725	593.8
366.125	609.6
366.525	598
366.904	593.2
367.304	581.4
367.705	613.2
368.105	604.4
368.506	596
368.906	602.4
369.307	602.4
369.708	604.2
370.108	592
370.509	604.8
370.91	585.4
371.311	599
371.712	600.6
372.113	597.8
372.514	588.2
372.894	601.8
373.295	584.6
373.696	607.2
374.097	603.2
374.499	625
374.9	596
375.301	586.2
375.703	601.8
376.105	596
376.506	605.8
376.908	603.6
377.309	604.6
377.711	604.2
378.113	596.2
378.493	595.6
378.895	595.2
379.297	608
379.699	583.2
380.102	611.4
380.504	598.8
380.906	590.8
381.308	624
381.71	602.6
382.113	604.2
382.515	600.4
382.918	609
383.299	594.8
383.701	609.4
384.104	607.6
384.507	578.4
384.909	595.4
385.312	590.2
385.715	593.8
386.118	594.8
386.521	588.4
386.924	610
387.327	592.2
387.709	584.4
388.112	575.2
388.515	593.8
388.918	599.6
389.322	599.6
389.725	592
390.129	616
390.532	600
390.936	600.8
391.339	584.6
391.743	602.2
392.125	594
392.529	612.6
392.933	612.2
393.337	592.8
393.74	592.2
394.144	604.4
394.548	591.6
394.953	592.8
395.357	598
395.761	588.4
396.144	595.4
396.548	596.2
396.952	595.2
397.357	599.4
397.761	589.6
398.166	597.4
398.57	597.2
398.975	589.8
399.379	602.4
399.763	638.6
400.168	596.4
400.572	595.8
400.977	592
401.382	614
401.787	600.2
402.192	616.4
402.597	606.4
403.002	577.8
403.386	612
403.791	607.8
404.197	591.4
404.602	603.4
405.007	597.4
405.413	591.6
405.818	590.4
406.224	585.8
406.608	590.8
407.014	584.4
407.42	604.6
407.825	594.2
408.231	600.4
408.637	589.4
409.043	609
409.449	593.4
409.834	591
410.24	597.6
410.646	604
411.052	607.2
411.458	602.2
411.865	598.6
412.271	601.8
412.677	605
413.062	609.8
413.469	596.2
413.875	625.2
414.282	609.4
414.689	606
415.095	603.2
415.502	589.4
415.888	595.4
416.294	585
416.701	627.8
417.108	589.8
417.515	606.8
417.923	601.2
418.33	612.4
418.715	607.8
419.123	592.4
419.53	599.6
419.937	600.6
420.345	613.4
420.752	595.8
421.16	624.6
421.546	596.4
421.953	605
422.361	592.6
422.769	592.8
423.177	588
423.585	621.4
423.992	610
424.379	608.4
424.787	607.4
425.195	618.2
425.603	598
426.011	601.6
426.419	605.8
426.806	601.8
427.214	599.2
427.623	609.2
428.031	610
428.44	603.4
428.848	614.8
429.235	618.4
429.644	607
430.053	603.6
430.461	616.8
430.87	624.8
431.279	603.2
431.666	597.8
432.075	603
432.484	603.2
432.893	600.6
433.302	627.2
433.711	645
434.099	606.2
434.508	598.2
434.918	596.2
435.327	603.8
435.737	595.4
436.125	599.4
436.534	610.2
436.944	602
437.353	602.6
437.763	625.6
438.173	592.6
438.561	608.2
438.971	578.8
439.381	598.8
439.791	603.4
440.201	582.4
440.589	597.8
440.999	601.8
441.409	598.4
441.819	587
442.23	603.4
442.619	605
443.029	593
443.439	596
443.85	609
444.26	620.2
444.649	601
445.06	590
445.471	590.2
445.881	598.2
446.292	612
446.682	615.4
447.092	581
447.503	641
447.914	599.4
448.325	598.2
448.715	596.8
449.126	582.2
449.537	592.4
449.948	597
450.338	597.6
450.75	604.6
451.161	589.4
451.572	606
451.984	593.6
452.374	575.4
452.786	597.8
453.197	599.6
453.609	603
453.999	578.8
454.411	587.4
454.823	603.2
455.235	608.2
455.647	593.6
456.037	602
456.449	581
456.862	591.4
457.274	594.6
457.665	593.2
458.077	601.2
458.489	626.8
458.902	594.4
459.293	597.6
459.705	589.8
460.118	590.4
460.53	600.8
460.921	602.6
461.334	600.8
461.747	591.2
462.16	604.2
462.551	605.6
462.964	604.6
463.377	585.8
463.79	585.8
464.182	602.2
464.595	578.8
465.008	593.8
465.421	604
465.813	594.2
466.226	605.2
466.64	595
467.053	640.4
467.445	598.8
467.859	597.4
468.272	594.6
468.686	606.2
469.078	596.4
469.492	574.8
469.906	590.4
470.298	604.6
470.712	586
471.126	649
471.54	582.6
471.933	585.8
472.347	593.4
472.761	588.4
473.175	587.2
473.568	589.6
473.982	585.4
474.397	589.8
474.79	595.8
475.204	601.8
475.619	597.6
476.033	585.8
476.426	592
476.841	586.6
477.256	613
477.649	589.6
478.064	581.8
478.479	580
478.872	589.4
479.287	577
479.702	583.8
480.118	601.6
480.511	594.4
480.927	591.6
481.342	592.4
481.736	598.6
482.151	588.8
482.566	600.2
482.96	599.6
483.376	604.4
483.792	587.4
484.186	598.6
484.602	596.8
485.017	589.2
485.412	596.8
485.827	595.8
486.243	587.8
486.638	609.4
487.054	598.4
487.47	604.6
487.865	586.4
488.281	588.2
488.697	588
489.092	590.6
489.508	589.2
489.925	595.8
490.32	585
490.736	596
491.153	594
491.548	593.8
491.964	601
492.381	584.6
492.776	596.4
493.193	588.6
493.61	595.8
494.006	591.2
494.422	595.6
494.84	575.6
495.235	588.2
495.652	582.8
496.069	593.8
496.465	575.2
496.883	593.6
497.3	609
497.696	586.4
498.113	604.6
498.509	578.2
498.927	578.6
499.344	577
499.741	580.2
500.158	595.2
500.576	585.6
500.973	585.6
501.39	589.6
501.787	576.6
502.205	589.6
502.623	580.2
503.02	577.8
503.438	582.2
503.856	595.2
504.253	582.4
504.671	587
505.068	582.2
505.486	584
505.905	603.4
506.302	589.2
506.72	603.6
507.118	570.8
507.536	587
507.955	579.4
508.352	594.4
508.771	596
509.169	589.2
509.587	576.6
510.006	582.6
510.404	587.8
510.823	578.4
511.221	586.6
511.64	594.6
512.038	604.6
512.457	593.4
512.877	591.2
513.275	587
513.694	594.6
514.092	588
514.512	589
514.91	593.4
515.33	588.6
515.749	590.4
516.148	597.2
516.568	588.8
516.966	589
517.386	587.6
517.785	587.2
518.205	593
518.603	578.8
519.024	584.8
519.444	584.6
519.843	589
520.263	595.4
520.662	592.8
521.082	578.6
521.481	589.6
521.902	579
522.301	592.6
522.722	583
523.121	579.6
523.542	577
523.963	584
524.362	590.4
524.783	585.8
525.183	586.2
525.604	592.6
526.003	581
526.425	586
526.824	585.2
527.246	596.8
527.646	592.4
528.067	591.8
528.467	588.2
528.888	593.4
529.289	584.8
529.71	584.8
530.11	583.2
530.532	587
530.932	584.2
531.354	575.4
531.755	619.4
532.176	593.2
532.577	585.8
532.999	579
533.4	583.4
533.822	601
534.223	591.2
534.645	588.2
535.046	583.4
535.468	590.6
535.869	599.4
536.292	580
536.693	612.2
537.115	594.2
537.516	580
537.939	585
538.34	596.8
538.742	600.8
539.165	582.8
539.566	586.8
539.989	574.4
540.391	582.6
540.814	584.6
541.216	592.2
541.639	582
542.041	586.4
542.464	575.2
542.866	579.6
543.268	575.2
543.691	587.2
544.093	587
544.517	595.4
544.919	585.4
545.343	605.2
545.745	582.8
546.147	584.4
546.571	587.4
546.974	571.4
547.398	587.2
547.8	594.6
548.224	588
548.627	582.8
549.03	592.8
549.454	586.6
549.857	584.4
550.281	579
550.684	585
551.087	596.8
551.512	592.4
551.915	593.4
552.34	579.8
552.743	581.6
553.146	584.6
553.571	586.4
553.975	609
554.399	585.6
554.803	633.6
555.207	584.2
555.632	591.6
556.036	589.6
556.461	588.4
556.865	590.2
557.268	585.2
557.694	582
558.098	594
558.502	598
558.927	583.6
559.332	588.2
559.736	583.8
560.162	588.2
560.566	586
560.992	587.4
561.396	580.6
561.801	584.4
562.227	587.4
562.631	580.4
563.036	589.8
563.462	588
563.867	580.8
564.272	568.6
564.698	587.6
565.103	580.4
565.508	604.4
565.935	588.6
566.34	581
566.745	599
567.172	583.2
567.577	606.4
567.982	602.8
568.409	584.4
568.815	581
569.22	585.4
569.626	583.4
570.053	579.8
570.459	593.6
570.865	587.2
571.292	592.4
571.698	589
572.104	572.4
572.531	582.4
572.937	598.6
573.343	583.6
573.75	579.2
574.177	582.2
574.583	596.6
574.99	584.8
575.396	589.8
575.824	580.4
576.231	591.6
576.637	582.6
577.065	608.8
577.472	588.6
577.879	585.4
578.286	597.6
578.714	584.8
579.121	581.6
579.528	585.2
579.935	590.8
580.364	576.8
580.771	572.8
581.178	582.2
581.585	588.2
582.014	592
582.421	581.6
582.829	580.2
583.236	590.4
583.644	583.2
584.073	581.4
584.481	583.8
584.889	580
585.296	589.4
585.726	589.2
586.134	576
586.542	580.8
586.95	604.4
587.358	569.4
587.787	584.8
588.196	593.8
588.604	587
589.012	587.8
589.421	586
589.851	577
590.259	585
590.668	577.8
591.076	617.2
591.485	575.6
591.894	580.8
592.324	595
592.733	595.4
593.142	573
593.551	583.8
593.96	617.2
594.369	577.8
594.8	581.2
595.209	584.2
595.618	568.8
596.028	585
596.437	574.2
596.847	578.2
597.256	580
597.687	588.8
598.097	573.8
598.507	566.8
598.917	588
599.327	584.2
599.736	587
600.146	585
600.556	569
600.988	593.8
601.398	580.4
601.808	591.2
602.219	571.8
602.629	586.2
603.039	589.4
603.45	611.8
603.86	589
604.271	597.2
604.703	587.2
605.114	582.4
605.525	586.6
605.935	588.6
606.346	603.8
606.757	591.6
607.168	573.2
607.579	587.6
607.99	584.8
608.402	583.4
608.813	589
609.224	586
609.636	576.4
610.047	572
610.48	581.6
610.892	583.6
611.303	590.6
611.715	583.2
612.127	575.4
612.539	582.6
612.95	579.4
613.362	576.4
613.774	579.4
614.186	573.8
614.599	581.4
615.011	595.4
615.423	583
615.835	578
616.248	571.6
616.66	585.8
617.073	576.8
617.485	586.2
617.898	581
618.311	585.2
618.723	584.6
619.136	613.2
619.549	587.8
619.962	598.4
620.375	577.4
620.788	587.2
621.201	580.4
621.614	580
622.028	587
622.441	579.6
622.854	601.4
623.268	581.2
623.681	581
624.095	588.6
624.509	596.4
624.922	590.2
625.336	574.4
625.728	585.8
626.142	588.4
626.556	595.6
626.97	589.8
627.384	582.4
627.799	589.8
628.213	595.2
628.627	587.8
629.041	583.8
629.456	578
629.87	582.4
630.285	586.4
630.699	589.8
631.093	585
631.507	586.8
631.922	584.4
632.337	594
632.752	575.4
633.167	586
633.582	581.4
633.997	582.4
634.412	587.6
634.806	585.8
635.221	574.8
635.637	585.2
636.052	571.6
636.468	576.8
636.883	593.4
637.299	582.8
637.715	572.2
638.109	577.6
638.525	572.6
638.941	588.6
639.357	584
639.773	589
640.189	575.8
640.584	578.8
641	575.2
641.416	566.6
641.832	584.4
642.249	580.2
642.665	580.4
643.06	581.8
643.477	597
643.894	566.6
644.31	570.6
644.727	579.4
645.123	585
645.54	575.2
645.957	577
646.374	593
646.77	583.8
647.187	608.8
647.604	582.2
648.021	568.4
648.439	579
648.835	585.6
649.252	585.2
649.67	582
650.088	581.2
650.484	581.6
650.902	587.8
651.32	587
651.738	579.6
652.134	587.2
652.552	595.4
652.971	588.6
653.389	577.8
653.786	580.6
654.204	595.6
654.622	575.6
655.019	589.8
655.438	584.4
655.857	578.6
656.275	583.2
656.673	579.6
657.091	578.6
657.51	573.6
657.908	584.8
658.327	595.8
658.746	572
659.144	580
659.563	588.2
659.982	582.6
660.38	571.2
